problem_id,rules_text,reaction_state,option_A,option_B,option_C,option_D,answer
15,"0. If NOT (polarity > 0.014), dominance between Beta displacement and Alpha transformation is reversed.
1. If thermal_index < 19, Alpha transformation is activated.
2. If NOT (polarity < 0.83), Rule 1 is overridden.
3. If exactly 2 mechanisms remain, eliminate Beta displacement.
4. If polarity < 0.632, Rule 3 is overridden.
5. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
6. If thermal_index > 8, Delta elimination is blocked.
7. If polarity < 0.688, Delta elimination is blocked.
8. If ((polarity > 0.698 AND zeta_affinity > 3) AND thermal_index < 2), Delta elimination dominates Alpha transformation.
9. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
10. If steric_factor > 2, Rule 0 is overridden.","sigma_density=7, steric_factor=1, polarity=0.223, thermal_index=0, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
16,"0. If ((steric_factor < 4 OR thermal_index < 2) OR (NOT (sigma_density > 3) AND zeta_affinity > 7)), Beta displacement is blocked.
1. If NOT (zeta_affinity < 0), Rule 0 is overridden.
2. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
3. If polarity < 0.452, Rule 2 is overridden.
4. If (steric_factor > 0 AND steric_factor < 1), dominance between Gamma rearrangement and Beta displacement is reversed.
5. If NOT (steric_factor < 4), Rule 0 is overridden.
6. If steric_factor > 2, Delta elimination dominates Gamma rearrangement.
7. If thermal_index > 77, Delta elimination dominates Gamma rearrangement.
8. If exactly 3 mechanisms remain, eliminate Alpha transformation.","sigma_density=0, steric_factor=0, polarity=0.947, thermal_index=0, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
18,"0. If NOT (steric_factor < 1), dominance between Gamma rearrangement and Alpha transformation is reversed.
1. If exactly 2 mechanisms remain, eliminate Alpha transformation.
2. If (NOT (polarity > 0.791) AND (zeta_affinity > 2 AND thermal_index < 27)), Beta displacement is blocked.
3. If exactly 3 mechanisms remain, eliminate Delta elimination.
4. If sigma_density > 10, dominance between Beta displacement and Alpha transformation is reversed.
5. If sigma_density > 2, Beta displacement is blocked.
6. If NOT (sigma_density < 10), Beta displacement is blocked.
7. If steric_factor < 2, Delta elimination is activated.
8. If ((NOT (steric_factor < 3) OR polarity > 0.035) AND NOT (steric_factor > 1)), Delta elimination is blocked.
9. If (zeta_affinity < 8 OR zeta_affinity > 8), Beta displacement is blocked.
10. If exactly 1 mechanisms remain, eliminate Alpha transformation.","sigma_density=8, steric_factor=0, polarity=0.56, thermal_index=50, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
20,"0. If ((NOT (sigma_density > 10) OR zeta_affinity < 2) AND zeta_affinity < 6), Beta displacement dominates Delta elimination.
1. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
2. If (zeta_affinity < 1 OR polarity < 0.187), Beta displacement is blocked.
3. If zeta_affinity < 2, Beta displacement dominates Gamma rearrangement.
4. If NOT (zeta_affinity < 10), Alpha transformation is blocked.
5. If exactly 2 mechanisms remain, eliminate Beta displacement.
6. If ((zeta_affinity > 9 AND NOT (sigma_density < 7)) OR (polarity < 0.582 AND sigma_density > 5)), dominance between Gamma rearrangement and Beta displacement is reversed.
7. If polarity > 0.202, Gamma rearrangement is activated.
8. If exactly 3 mechanisms remain, eliminate Delta elimination.
9. If ((thermal_index < 0 AND steric_factor < 4) OR (NOT (zeta_affinity < 6) OR polarity < 0.864)), Gamma rearrangement is activated.
10. If (polarity < 0.51 OR zeta_affinity < 6), Gamma rearrangement dominates Alpha transformation.
11. If exactly 2 mechanisms remain, eliminate Delta elimination.","sigma_density=0, steric_factor=1, polarity=0.933, thermal_index=0, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
21,"0. If exactly 2 mechanisms remain, eliminate Alpha transformation.
1. If ((sigma_density < 7 AND zeta_affinity > 0) OR sigma_density > 4), dominance between Alpha transformation and Gamma rearrangement is reversed.
2. If steric_factor > 4, Rule 0 is overridden.
3. If sigma_density > 8, Gamma rearrangement is activated.
4. If ((thermal_index > 96 OR thermal_index > 19) OR sigma_density < 4), Rule 2 is overridden.
5. If thermal_index > 50, dominance between Beta displacement and Gamma rearrangement is reversed.
6. If (NOT (polarity < 0.647) AND steric_factor > 3), Alpha transformation is blocked.
7. If (thermal_index > 85 AND (zeta_affinity < 5 OR sigma_density > 10)), Delta elimination dominates Alpha transformation.
8. If polarity > 0.907, dominance between Delta elimination and Beta displacement is reversed.
9. If polarity > 0.805, Gamma rearrangement is blocked.
10. If (polarity < 0.667 AND polarity > 0.949), Rule 1 is overridden.
11. If (NOT (zeta_affinity < 7) OR (polarity < 0.37 OR thermal_index < 88)), Gamma rearrangement is activated.","sigma_density=10, steric_factor=2, polarity=0.947, thermal_index=46, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
22,"0. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
1. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
2. If exactly 3 mechanisms remain, eliminate Alpha transformation.
3. If thermal_index > 97, Gamma rearrangement is blocked.
4. If exactly 3 mechanisms remain, eliminate Delta elimination.
5. If (steric_factor > 0 OR (NOT (polarity > 0.382) AND zeta_affinity > 3)), Alpha transformation is blocked.
6. If (thermal_index < 42 AND (zeta_affinity > 6 OR polarity < 0.628)), Beta displacement is blocked.
7. If NOT (polarity > 0.553), Gamma rearrangement is activated.
8. If sigma_density > 1, Rule 5 is overridden.
9. If (NOT (steric_factor < 1) AND (NOT (steric_factor > 0) AND NOT (thermal_index > 37))), Alpha transformation is activated.
10. If thermal_index < 91, Delta elimination dominates Gamma rearrangement.
11. If polarity > 0.711, Gamma rearrangement is activated.","sigma_density=6, steric_factor=4, polarity=0.959, thermal_index=19, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
23,"0. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
1. If NOT (zeta_affinity < 3), Delta elimination dominates Alpha transformation.
2. If ((polarity > 0.206 OR NOT (polarity > 0.776)) OR zeta_affinity < 2), Beta displacement dominates Alpha transformation.
3. If steric_factor > 3, Gamma rearrangement is activated.
4. If exactly 2 mechanisms remain, eliminate Alpha transformation.
5. If zeta_affinity > 8, Rule 3 is overridden.
6. If ((sigma_density < 8 OR steric_factor > 0) AND (NOT (sigma_density > 0) OR NOT (polarity < 0.72))), Alpha transformation dominates Beta displacement.
7. If zeta_affinity > 4, Rule 4 is overridden.
8. If ((thermal_index > 57 OR thermal_index > 92) AND sigma_density > 0), dominance between Delta elimination and Beta displacement is reversed.
9. If steric_factor < 2, dominance between Gamma rearrangement and Alpha transformation is reversed.
10. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
11. If exactly 2 mechanisms remain, eliminate Delta elimination.","sigma_density=4, steric_factor=4, polarity=0.289, thermal_index=100, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
25,"0. If exactly 3 mechanisms remain, eliminate Alpha transformation.
1. If exactly 2 mechanisms remain, eliminate Delta elimination.
2. If ((polarity < 0.619 OR thermal_index < 21) AND zeta_affinity > 5), dominance between Alpha transformation and Delta elimination is reversed.
3. If zeta_affinity > 7, Gamma rearrangement is blocked.
4. If exactly 3 mechanisms remain, eliminate Beta displacement.
5. If (zeta_affinity < 5 OR sigma_density > 9), Alpha transformation is blocked.
6. If (sigma_density > 0 OR zeta_affinity < 0), Delta elimination dominates Gamma rearrangement.
7. If polarity < 0.089, Alpha transformation is blocked.","sigma_density=7, steric_factor=5, polarity=0.012, thermal_index=85, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
27,"0. If steric_factor > 5, Delta elimination dominates Alpha transformation.
1. If (sigma_density > 9 OR (NOT (polarity > 0.315) AND NOT (steric_factor > 1))), Rule 0 is overridden.
2. If NOT (polarity > 0.21), Alpha transformation is activated.
3. If sigma_density < 8, Delta elimination dominates Gamma rearrangement.
4. If zeta_affinity < 2, Gamma rearrangement is blocked.
5. If sigma_density > 8, Gamma rearrangement is blocked.
6. If (zeta_affinity > 1 AND (polarity < 0.772 AND thermal_index < 63)), dominance between Beta displacement and Alpha transformation is reversed.
7. If exactly 2 mechanisms remain, eliminate Beta displacement.
8. If thermal_index < 17, dominance between Alpha transformation and Gamma rearrangement is reversed.
9. If exactly 3 mechanisms remain, eliminate Beta displacement.
10. If (zeta_affinity > 6 OR polarity > 0.009), Delta elimination dominates Alpha transformation.","sigma_density=4, steric_factor=3, polarity=0.172, thermal_index=52, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
28,"0. If ((NOT (sigma_density > 2) AND polarity > 0.087) OR (thermal_index > 50 AND thermal_index > 5)), Gamma rearrangement dominates Alpha transformation.
1. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
2. If NOT (steric_factor > 4), Alpha transformation is activated.
3. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
4. If zeta_affinity < 3, Alpha transformation is activated.
5. If ((steric_factor < 3 OR NOT (polarity < 0.4)) AND (sigma_density < 7 OR thermal_index > 36)), Rule 0 is overridden.
6. If exactly 2 mechanisms remain, eliminate Alpha transformation.
7. If ((sigma_density > 3 AND NOT (sigma_density < 0)) AND (polarity > 0.137 OR thermal_index < 44)), Rule 5 is overridden.
8. If thermal_index < 60, Delta elimination is blocked.
9. If ((thermal_index > 88 AND zeta_affinity > 4) OR (thermal_index < 8 AND NOT (polarity < 0.1))), Rule 3 is overridden.
10. If NOT (steric_factor > 0), Beta displacement is blocked.
11. If NOT (polarity < 0.078), Rule 4 is overridden.","sigma_density=5, steric_factor=3, polarity=0.781, thermal_index=25, zeta_affinity=8",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
29,"0. If polarity < 0.901, Delta elimination is activated.
1. If zeta_affinity < 6, Gamma rearrangement dominates Beta displacement.
2. If steric_factor < 2, Alpha transformation dominates Delta elimination.
3. If thermal_index < 43, Beta displacement is activated.
4. If (NOT (thermal_index < 48) OR NOT (steric_factor < 2)), Gamma rearrangement dominates Alpha transformation.
5. If ((steric_factor < 4 OR thermal_index > 2) OR (sigma_density > 7 OR thermal_index > 24)), Beta displacement is blocked.
6. If (steric_factor < 0 OR (zeta_affinity > 3 AND NOT (polarity > 0.747))), Alpha transformation is blocked.
7. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.","sigma_density=2, steric_factor=4, polarity=0.269, thermal_index=26, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
30,"0. If exactly 1 mechanisms remain, eliminate Delta elimination.
1. If (thermal_index > 38 OR steric_factor < 4), Alpha transformation dominates Delta elimination.
2. If (NOT (zeta_affinity < 4) AND (sigma_density > 3 OR zeta_affinity > 9)), dominance between Delta elimination and Alpha transformation is reversed.
3. If steric_factor < 0, Delta elimination dominates Beta displacement.
4. If exactly 3 mechanisms remain, eliminate Alpha transformation.
5. If ((NOT (zeta_affinity > 2) OR zeta_affinity < 2) OR (NOT (polarity < 0.106) OR NOT (steric_factor < 1))), Rule 4 is overridden.
6. If thermal_index < 61, Beta displacement dominates Alpha transformation.
7. If NOT (sigma_density < 6), Rule 4 is overridden.
8. If ((sigma_density > 5 AND zeta_affinity < 1) OR steric_factor < 3), Delta elimination is blocked.
9. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
10. If exactly 2 mechanisms remain, eliminate Beta displacement.","sigma_density=8, steric_factor=0, polarity=0.353, thermal_index=8, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
31,"0. If (zeta_affinity < 5 OR (steric_factor > 1 OR NOT (thermal_index < 94))), Beta displacement is blocked.
1. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
2. If ((thermal_index > 22 OR zeta_affinity < 5) AND NOT (zeta_affinity < 1)), Rule 1 is overridden.
3. If ((sigma_density > 8 AND zeta_affinity < 1) AND polarity < 0.838), Gamma rearrangement is activated.
4. If exactly 3 mechanisms remain, eliminate Beta displacement.
5. If ((polarity > 0.664 OR sigma_density < 2) OR (sigma_density < 9 OR steric_factor > 0)), dominance between Alpha transformation and Gamma rearrangement is reversed.
6. If thermal_index < 52, dominance between Alpha transformation and Delta elimination is reversed.
7. If ((NOT (polarity > 0.174) AND NOT (steric_factor > 1)) AND steric_factor < 5), Delta elimination dominates Beta displacement.","sigma_density=5, steric_factor=4, polarity=0.74, thermal_index=12, zeta_affinity=7",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
33,"0. If NOT (sigma_density > 5), Alpha transformation is blocked.
1. If ((NOT (thermal_index < 14) OR zeta_affinity > 5) AND steric_factor > 3), Alpha transformation is activated.
2. If exactly 2 mechanisms remain, eliminate Beta displacement.
3. If (steric_factor < 5 OR thermal_index > 69), Gamma rearrangement is blocked.
4. If sigma_density < 3, Rule 0 is overridden.
5. If (polarity > 0.667 AND (thermal_index < 22 AND steric_factor < 0)), Delta elimination is blocked.
6. If ((steric_factor > 5 OR polarity > 0.511) OR NOT (thermal_index < 33)), Rule 3 is overridden.
7. If zeta_affinity < 6, Beta displacement dominates Delta elimination.","sigma_density=8, steric_factor=4, polarity=0.779, thermal_index=29, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
34,"0. If NOT (zeta_affinity < 3), dominance between Beta displacement and Delta elimination is reversed.
1. If NOT (steric_factor > 4), Beta displacement is activated.
2. If ((zeta_affinity > 9 OR NOT (polarity < 0.209)) OR zeta_affinity > 4), Gamma rearrangement is blocked.
3. If zeta_affinity < 2, Beta displacement is blocked.
4. If exactly 3 mechanisms remain, eliminate Alpha transformation.
5. If zeta_affinity < 10, Delta elimination dominates Gamma rearrangement.
6. If NOT (thermal_index < 77), Beta displacement is activated.
7. If ((NOT (thermal_index < 51) OR NOT (thermal_index > 15)) OR NOT (zeta_affinity < 8)), Gamma rearrangement dominates Delta elimination.
8. If (thermal_index < 66 OR (zeta_affinity < 9 AND thermal_index > 89)), dominance between Alpha transformation and Delta elimination is reversed.
9. If ((sigma_density > 0 OR NOT (polarity < 0.796)) OR NOT (polarity < 0.419)), Alpha transformation dominates Gamma rearrangement.
10. If ((sigma_density < 6 AND NOT (polarity > 0.563)) OR (polarity < 0.611 AND polarity < 0.019)), dominance between Delta elimination and Beta displacement is reversed.
11. If ((NOT (thermal_index < 43) AND NOT (polarity < 0.901)) OR (thermal_index < 15 AND steric_factor > 2)), dominance between Delta elimination and Beta displacement is reversed.","sigma_density=2, steric_factor=3, polarity=0.875, thermal_index=38, zeta_affinity=8",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
35,"0. If ((steric_factor > 0 OR sigma_density < 9) OR NOT (polarity > 0.726)), Gamma rearrangement dominates Beta displacement.
1. If ((polarity < 0.655 AND polarity > 0.954) AND (thermal_index > 4 AND NOT (sigma_density < 4))), Alpha transformation is blocked.
2. If polarity < 0.585, dominance between Alpha transformation and Delta elimination is reversed.
3. If exactly 3 mechanisms remain, eliminate Delta elimination.
4. If (thermal_index < 93 OR (thermal_index > 70 OR sigma_density > 5)), Rule 0 is overridden.
5. If exactly 2 mechanisms remain, eliminate Alpha transformation.
6. If ((NOT (zeta_affinity < 8) AND NOT (steric_factor < 0)) OR sigma_density < 8), Delta elimination dominates Beta displacement.
7. If (zeta_affinity < 1 OR (NOT (polarity < 0.168) OR NOT (polarity > 0.828))), Rule 0 is overridden.","sigma_density=0, steric_factor=5, polarity=0.874, thermal_index=21, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
